title,title_fa,overview,overview_fa,release_date,poster_path,backdrop_path,imdb_rating,tmdb_rating,runtime,original_language,genres,director,cast,keywords,is_tv_series
Inception,تلقین,A thief who steals corporate secrets through dream-sharing technology.,یک دزد که با استفاده از فناوری به اشتراک گذاری رویاها اسرار شرکتی را می‌دزدد.,2010-07-16,https://example.com/poster/inception.jpg,https://example.com/backdrop/inception.jpg,8.8,8.3,148,en,"Action, Sci-Fi",Christopher Nolan,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt']","['dream', 'subconscious']",False
The Shawshank Redemption,رستگاری در شاوشنک,Two imprisoned men bond over years.,دو زندانی در طول سال‌ها رابطه دوستی برقرار می‌کنند.,1994-09-23,https://example.com/poster/shawshank.jpg,https://example.com/backdrop/shawshank.jpg,9.3,8.7,142,en,Drama,Frank Darabont,"['Tim Robbins', 'Morgan Freeman']","['prison', 'hope']",False
Breaking Bad,بریکینگ بد,A chemistry teacher turned meth producer.,یک معلم شیمی که تولید کننده مواد مخدر می‌شود.,2008-01-20,https://example.com/poster/breakingbad.jpg,https://example.com/backdrop/breakingbad.jpg,9.5,9.0,49,en,"Crime, Drama, Thriller",Vince Gilligan,"['Bryan Cranston', 'Aaron Paul']","['meth', 'teacher', 'cancer']",True
جدایی نادر از سیمین,A Separation,A married couple faces difficulties over leaving Iran.,یک زوج ایرانی در آستانه جدایی با چالش‌هایی روبرو می‌شوند.,2011-03-16,https://example.com/poster/separation.jpg,https://example.com/backdrop/separation.jpg,8.3,8.2,123,fa,Drama,Asghar Farhadi,"['Leila Hatami', 'Peyman Moaadi']","['divorce', 'family']",False
شهرزاد,Shahrzad,Love story during political turbulence.,عاشقانه در بحبوحه بحران سیاسی.,2015-10-05,https://example.com/poster/shahrzad.jpg,https://example.com/backdrop/shahrzad.jpg,8.5,8.0,60,fa,"Romance, Drama",Hassan Fathi,"['Taraneh Alidoosti', 'Mostafa Zamani']","['love', 'history']",True
A Separation #1,جدایی نادر از سیمین 1,A married couple face a difficult decision...,یک زوج ایرانی در آستانه‌ی طلاق با واقعیت‌های پیچیده‌ای مواجه می‌شوند.,2011-03-15,https://example.com/poster/a_separation_#1.jpg,https://example.com/backdrop/a_separation_#1.jpg,9.5,9.2,80,fa,Drama,Asghar Farhadi,"['Leila Hatami', 'Peyman Moaadi']","['divorce', 'family', 'Iran']",False
A Separation #2,جدایی نادر از سیمین 2,A married couple face a difficult decision...,یک زوج ایرانی در آستانه‌ی طلاق با واقعیت‌های پیچیده‌ای مواجه می‌شوند.,2011-03-15,https://example.com/poster/a_separation_#2.jpg,https://example.com/backdrop/a_separation_#2.jpg,9.1,6.7,144,fa,Drama,Asghar Farhadi,"['Leila Hatami', 'Peyman Moaadi']","['divorce', 'family', 'Iran']",False
The Dark Knight #3,شوالیه تاریکی 3,Batman sets out to dismantle the remaining criminal organizations...,بتمن تلاش می‌کند گاتهام را از جنایتکاران پاک کند.,2008-07-18,https://example.com/poster/the_dark_knight_#3.jpg,https://example.com/backdrop/the_dark_knight_#3.jpg,8.1,7.9,150,en,"Action, Crime, Drama",Christopher Nolan,"['Christian Bale', 'Heath Ledger']","['joker', 'chaos', 'vigilante']",False
The Godfather #4,پدرخوانده 4,The aging patriarch of an organized crime dynasty...,رییس پیر یک خاندان مافیایی قدرت را به پسرش منتقل می‌کند.,1972-03-24,https://example.com/poster/the_godfather_#4.jpg,https://example.com/backdrop/the_godfather_#4.jpg,9.2,7.8,88,en,"Crime, Drama",Francis Ford Coppola,"['Marlon Brando', 'Al Pacino']","['mafia', 'family']",False
Children of Heaven #5,بچه‌های آسمان 5,A boy loses his sister's shoes...,پسری کفش خواهرش را گم می‌کند و تلاش می‌کند آن را جایگزین کند.,1997-02-01,https://example.com/poster/children_of_heaven_#5.jpg,https://example.com/backdrop/children_of_heaven_#5.jpg,8.4,7.3,146,fa,"Drama, Family",Majid Majidi,['Amir Farrokh Hashemian'],"['shoes', 'poverty', 'siblings']",False
The Godfather #6,پدرخوانده 6,The aging patriarch of an organized crime dynasty...,رییس پیر یک خاندان مافیایی قدرت را به پسرش منتقل می‌کند.,1972-03-24,https://example.com/poster/the_godfather_#6.jpg,https://example.com/backdrop/the_godfather_#6.jpg,7.1,8.1,130,en,"Crime, Drama",Francis Ford Coppola,"['Marlon Brando', 'Al Pacino']","['mafia', 'family']",False
Parasite #7,انگل 7,Greed and class discrimination threaten the newly formed symbiotic relationship...,روابط پیچیده میان دو خانواده از طبقات مختلف کره‌ای.,2019-05-30,https://example.com/poster/parasite_#7.jpg,https://example.com/backdrop/parasite_#7.jpg,7.6,9.5,126,ko,"Drama, Thriller",Bong Joon-ho,['Song Kang-ho'],"['class', 'inequality']",False
Parasite #8,انگل 8,Greed and class discrimination threaten the newly formed symbiotic relationship...,روابط پیچیده میان دو خانواده از طبقات مختلف کره‌ای.,2019-05-30,https://example.com/poster/parasite_#8.jpg,https://example.com/backdrop/parasite_#8.jpg,7.4,6.9,81,ko,"Drama, Thriller",Bong Joon-ho,['Song Kang-ho'],"['class', 'inequality']",False
Children of Heaven #9,بچه‌های آسمان 9,A boy loses his sister's shoes...,پسری کفش خواهرش را گم می‌کند و تلاش می‌کند آن را جایگزین کند.,1997-02-01,https://example.com/poster/children_of_heaven_#9.jpg,https://example.com/backdrop/children_of_heaven_#9.jpg,8.3,6.7,99,fa,"Drama, Family",Majid Majidi,['Amir Farrokh Hashemian'],"['shoes', 'poverty', 'siblings']",False
Parasite #10,انگل 10,Greed and class discrimination threaten the newly formed symbiotic relationship...,روابط پیچیده میان دو خانواده از طبقات مختلف کره‌ای.,2019-05-30,https://example.com/poster/parasite_#10.jpg,https://example.com/backdrop/parasite_#10.jpg,9.1,7.7,105,ko,"Drama, Thriller",Bong Joon-ho,['Song Kang-ho'],"['class', 'inequality']",False
The Dark Knight #11,شوالیه تاریکی 11,Batman sets out to dismantle the remaining criminal organizations...,بتمن تلاش می‌کند گاتهام را از جنایتکاران پاک کند.,2008-07-18,https://example.com/poster/the_dark_knight_#11.jpg,https://example.com/backdrop/the_dark_knight_#11.jpg,9.6,7.9,82,en,"Action, Crime, Drama",Christopher Nolan,"['Christian Bale', 'Heath Ledger']","['joker', 'chaos', 'vigilante']",False
A Separation #12,جدایی نادر از سیمین 12,A married couple face a difficult decision...,یک زوج ایرانی در آستانه‌ی طلاق با واقعیت‌های پیچیده‌ای مواجه می‌شوند.,2011-03-15,https://example.com/poster/a_separation_#12.jpg,https://example.com/backdrop/a_separation_#12.jpg,8.1,7.3,107,fa,Drama,Asghar Farhadi,"['Leila Hatami', 'Peyman Moaadi']","['divorce', 'family', 'Iran']",False
The Dark Knight #13,شوالیه تاریکی 13,Batman sets out to dismantle the remaining criminal organizations...,بتمن تلاش می‌کند گاتهام را از جنایتکاران پاک کند.,2008-07-18,https://example.com/poster/the_dark_knight_#13.jpg,https://example.com/backdrop/the_dark_knight_#13.jpg,8.4,8.8,123,en,"Action, Crime, Drama",Christopher Nolan,"['Christian Bale', 'Heath Ledger']","['joker', 'chaos', 'vigilante']",False
Children of Heaven #14,بچه‌های آسمان 14,A boy loses his sister's shoes...,پسری کفش خواهرش را گم می‌کند و تلاش می‌کند آن را جایگزین کند.,1997-02-01,https://example.com/poster/children_of_heaven_#14.jpg,https://example.com/backdrop/children_of_heaven_#14.jpg,9.5,9.0,146,fa,"Drama, Family",Majid Majidi,['Amir Farrokh Hashemian'],"['shoes', 'poverty', 'siblings']",False
The Dark Knight #15,شوالیه تاریکی 15,Batman sets out to dismantle the remaining criminal organizations...,بتمن تلاش می‌کند گاتهام را از جنایتکاران پاک کند.,2008-07-18,https://example.com/poster/the_dark_knight_#15.jpg,https://example.com/backdrop/the_dark_knight_#15.jpg,9.7,8.9,137,en,"Action, Crime, Drama",Christopher Nolan,"['Christian Bale', 'Heath Ledger']","['joker', 'chaos', 'vigilante']",False
The Dark Knight #16,شوالیه تاریکی 16,Batman sets out to dismantle the remaining criminal organizations...,بتمن تلاش می‌کند گاتهام را از جنایتکاران پاک کند.,2008-07-18,https://example.com/poster/the_dark_knight_#16.jpg,https://example.com/backdrop/the_dark_knight_#16.jpg,7.7,9.2,100,en,"Action, Crime, Drama",Christopher Nolan,"['Christian Bale', 'Heath Ledger']","['joker', 'chaos', 'vigilante']",False
The Dark Knight #17,شوالیه تاریکی 17,Batman sets out to dismantle the remaining criminal organizations...,بتمن تلاش می‌کند گاتهام را از جنایتکاران پاک کند.,2008-07-18,https://example.com/poster/the_dark_knight_#17.jpg,https://example.com/backdrop/the_dark_knight_#17.jpg,8.7,7.1,114,en,"Action, Crime, Drama",Christopher Nolan,"['Christian Bale', 'Heath Ledger']","['joker', 'chaos', 'vigilante']",False
